Titel;Satz;Position1;Position2;Suspense
Tatsachen im Falle Waldemar;Dieser Erfolg genügte mir aber nicht, ich fuhr vielmehr eifrig und mit äußerster Willensanstrengung so lange fort, bis die Glieder des Schläfers, die ich zunächst in eine bequeme Lage gebracht hatte, vollständig steif geworden waren.;9626;9859;/1
Tatsachen im Falle Waldemar;Dennoch waren da zwei Besonderheiten, die, wie ich damals meinte – und auch heute noch denke – als charakteristisch für den Klang angeführt werden können.;15106;15260;/1
Tatsachen im Falle Waldemar;Es wäre ein Wunder, wenn es anders gewesen wäre, besonders unter den vorliegenden Umständen.;115;207;/1
Am Kamin;Am andern Morgen aber – so erzählte mir sein Sohn – nahm er seinen Abschied und verließ die Stadt, ohne jemals erfahren zu haben, womit er so lange in einer Kammer gehaust habe.;13264;13441;/0
Eine Spukgeschichte;fasse dich!;9815;9826;/1
Am Kamin;"Das ist keine Spukgeschichte;";1217;1246;/0
Eine Spukgeschichte;Gebe der Himmel, daß die unwahrscheinliche Rettung möglich.;12377;12436;/0
Eine Spukgeschichte;Aber in dem Augenblick sinkt Adelgunde todähnlich zu Boden.;5603;5662;/1
Am Kamin;Aber mochte er schon in seinen besten Zeiten sich nur einer bescheidenen Ausrüstung erfreut haben, jetzt, mit den vor Feuchtigkeit triefenden Wänden, mit der dumpfen Luft hinter den geschlossenen Fensterläden dünkte er mich beim ersten Eintritt in der Tat wie ein große Gruft.;38253;38529;/0
Eine Spukgeschichte;Nun ist aber auch die Geschichte mit dem Teller so ohne alle Staffierung gewöhnlicher Spukgeschichten, selbst die Stunde allem spukischen Herkommen entgegen, und das Ganze so ungesucht, so einfach, daß gerade in der Wahrscheinlichkeit, die das Unwahrscheinlichste dadurch erhält, für mich das Grauenhafte liegt.;13852;14163;/0
Am Kamin;Auf der Herberge erfuhr er, daß er bei einem der ältesten Meister in Arbeit treten könne.;7961;8050;/0
Eine Spukgeschichte;Theodor las:;16654;16666;/0
Tatsachen im Falle Waldemar;Infolge des Wunsches aller Beteiligten, die Sache vor der Öffentlichkeit wenigstens so lange geheimzuhalten, bis uns Gelegenheit zur weiteren Nachforschung gegeben war, und durch unsere Bemühungen, dies zu erreichen, drangen entstellte und übertriebene Gerüchte ins Volk und wurden die Quelle unangenehmer Mißdeutungen und selbstredend auch starker Ungläubigkeit.;208;571;/1
Am Kamin;Aha!;7456;7460;/0
Am Kamin;Ich, der ich ihm gegenübersaß, ergriff seinen Arm und schüttelte ihn.;5848;5917;/1
Am Kamin;Geht mir ebenso, alter Herr.;13483;13511;/0
Am Kamin;Wie gewöhnlich gingen auch die nun folgenden Nächte ohne Störung vorüber.;12343;12416;/0
Am Kamin;Nun, so tun Sie Ihre Mauskiste auf.;21724;21759;/0
Am Kamin;Nun!;20685;20689;/0
Tatsachen im Falle Waldemar;Ich will damit sagen, daß der Laut von klarer, von wundersam ergreifender Deutlichkeit der Worte war.;15664;15765;/0
Tatsachen im Falle Waldemar;Sie seien hier kurz zusammengefaßt.;664;699;/0
Am Kamin;Wenn wir des Tags zwischen Wiesen und Kornfeldern umhergeschlendert oder auch wohl mit den Kindern in den nahen Wald gefahren waren, so stand abends im Hause ein sehr behaglicher Teetisch für uns bereit, an dem sich auch wohl der eine oder andre von den benachbarten Hofbesitzern einzufinden pflegte.;31563;31863;/0
Tatsachen im Falle Waldemar;nein;15974;15978;/1
Am Kamin;Hans!;24284;24289;/0
Am Kamin;Hans!;22989;22994;/0
